,L,A,B,LAB,HEX
205,60,-80.1875,-76.859375,"[60.0, -80.1875, -76.859375]",#00b6ff
206,60,-75.1875,-76.859375,"[60.0, -75.1875, -76.859375]",#00b5ff
207,60,-70.1875,-76.859375,"[60.0, -70.1875, -76.859375]",#00b3ff
208,60,-65.1875,-76.859375,"[60.0, -65.1875, -76.859375]",#00b2ff
209,60,-60.1875,-76.859375,"[60.0, -60.1875, -76.859375]",#00b1ff
210,60,-55.1875,-76.859375,"[60.0, -55.1875, -76.859375]",#00afff
211,60,-50.1875,-76.859375,"[60.0, -50.1875, -76.859375]",#00aeff
212,60,-45.1875,-76.859375,"[60.0, -45.1875, -76.859375]",#00acff
213,60,-40.1875,-76.859375,"[60.0, -40.1875, -76.859375]",#00aaff
214,60,-35.1875,-76.859375,"[60.0, -35.1875, -76.859375]",#00a9ff
215,60,-30.1875,-76.859375,"[60.0, -30.1875, -76.859375]",#00a7ff
216,60,-25.1875,-76.859375,"[60.0, -25.1875, -76.859375]",#00a5ff
217,60,-20.1875,-76.859375,"[60.0, -20.1875, -76.859375]",#00a3ff
218,60,-15.1875,-76.859375,"[60.0, -15.1875, -76.859375]",#00a0ff
219,60,-10.1875,-76.859375,"[60.0, -10.1875, -76.859375]",#009eff
220,60,-5.1875,-76.859375,"[60.0, -5.1875, -76.859375]",#009cff
221,60,-0.1875,-76.859375,"[60.0, -0.1875, -76.859375]",#0099ff
222,60,4.8125,-76.859375,"[60.0, 4.8125, -76.859375]",#0097ff
223,60,9.8125,-76.859375,"[60.0, 9.8125, -76.859375]",#0094ff
224,60,14.8125,-76.859375,"[60.0, 14.8125, -76.859375]",#0091ff
225,60,19.8125,-76.859375,"[60.0, 19.8125, -76.859375]",#008eff
226,60,24.8125,-76.859375,"[60.0, 24.8125, -76.859375]",#368aff
227,60,29.8125,-76.859375,"[60.0, 29.8125, -76.859375]",#5187ff
228,60,34.8125,-76.859375,"[60.0, 34.8125, -76.859375]",#6583ff
229,60,39.8125,-76.859375,"[60.0, 39.8125, -76.859375]",#767fff
230,60,44.8125,-76.859375,"[60.0, 44.8125, -76.859375]",#847bff
231,60,49.8125,-76.859375,"[60.0, 49.8125, -76.859375]",#9176ff
232,60,54.8125,-76.859375,"[60.0, 54.8125, -76.859375]",#9d71ff
233,60,59.8125,-76.859375,"[60.0, 59.8125, -76.859375]",#a86cff
234,60,64.8125,-76.859375,"[60.0, 64.8125, -76.859375]",#b266ff
235,60,69.8125,-76.859375,"[60.0, 69.8125, -76.859375]",#bc60ff
236,60,74.8125,-76.859375,"[60.0, 74.8125, -76.859375]",#c658ff
237,60,79.8125,-76.859375,"[60.0, 79.8125, -76.859375]",#cf50ff
238,60,-85.1875,-71.859375,"[60.0, -85.1875, -71.859375]",#00b6ff
239,60,-80.1875,-71.859375,"[60.0, -80.1875, -71.859375]",#00b5ff
240,60,-75.1875,-71.859375,"[60.0, -75.1875, -71.859375]",#00b4ff
241,60,-70.1875,-71.859375,"[60.0, -70.1875, -71.859375]",#00b3ff
242,60,-65.1875,-71.859375,"[60.0, -65.1875, -71.859375]",#00b1ff
243,60,-60.1875,-71.859375,"[60.0, -60.1875, -71.859375]",#00b0ff
244,60,-55.1875,-71.859375,"[60.0, -55.1875, -71.859375]",#00aeff
245,60,-50.1875,-71.859375,"[60.0, -50.1875, -71.859375]",#00adff
246,60,-45.1875,-71.859375,"[60.0, -45.1875, -71.859375]",#00abff
247,60,-40.1875,-71.859375,"[60.0, -40.1875, -71.859375]",#00aaff
248,60,-35.1875,-71.859375,"[60.0, -35.1875, -71.859375]",#00a8ff
249,60,-30.1875,-71.859375,"[60.0, -30.1875, -71.859375]",#00a6ff
250,60,-25.1875,-71.859375,"[60.0, -25.1875, -71.859375]",#00a4ff
251,60,-20.1875,-71.859375,"[60.0, -20.1875, -71.859375]",#00a2ff
252,60,-15.1875,-71.859375,"[60.0, -15.1875, -71.859375]",#00a0ff
253,60,-10.1875,-71.859375,"[60.0, -10.1875, -71.859375]",#009dff
254,60,-5.1875,-71.859375,"[60.0, -5.1875, -71.859375]",#009bff
255,60,-0.1875,-71.859375,"[60.0, -0.1875, -71.859375]",#0098ff
256,60,4.8125,-71.859375,"[60.0, 4.8125, -71.859375]",#0096ff
257,60,9.8125,-71.859375,"[60.0, 9.8125, -71.859375]",#0093ff
258,60,14.8125,-71.859375,"[60.0, 14.8125, -71.859375]",#0090ff
259,60,19.8125,-71.859375,"[60.0, 19.8125, -71.859375]",#348dff
260,60,24.8125,-71.859375,"[60.0, 24.8125, -71.859375]",#508aff
261,60,29.8125,-71.859375,"[60.0, 29.8125, -71.859375]",#6386ff
262,60,34.8125,-71.859375,"[60.0, 34.8125, -71.859375]",#7482ff
263,60,39.8125,-71.859375,"[60.0, 39.8125, -71.859375]",#827eff
264,60,44.8125,-71.859375,"[60.0, 44.8125, -71.859375]",#8f7aff
265,60,49.8125,-71.859375,"[60.0, 49.8125, -71.859375]",#9b75ff
266,60,54.8125,-71.859375,"[60.0, 54.8125, -71.859375]",#a670ff
267,60,59.8125,-71.859375,"[60.0, 59.8125, -71.859375]",#b06bff
268,60,64.8125,-71.859375,"[60.0, 64.8125, -71.859375]",#ba65ff
269,60,69.8125,-71.859375,"[60.0, 69.8125, -71.859375]",#c35eff
270,60,74.8125,-71.859375,"[60.0, 74.8125, -71.859375]",#cc57ff
271,60,79.8125,-71.859375,"[60.0, 79.8125, -71.859375]",#d54eff
272,60,-85.1875,-66.859375,"[60.0, -85.1875, -66.859375]",#00b6ff
273,60,-80.1875,-66.859375,"[60.0, -80.1875, -66.859375]",#00b5ff
274,60,-75.1875,-66.859375,"[60.0, -75.1875, -66.859375]",#00b3ff
275,60,-70.1875,-66.859375,"[60.0, -70.1875, -66.859375]",#00b2ff
276,60,-65.1875,-66.859375,"[60.0, -65.1875, -66.859375]",#00b1ff
277,60,-60.1875,-66.859375,"[60.0, -60.1875, -66.859375]",#00afff
278,60,-55.1875,-66.859375,"[60.0, -55.1875, -66.859375]",#00aeff
279,60,-50.1875,-66.859375,"[60.0, -50.1875, -66.859375]",#00acff
280,60,-45.1875,-66.859375,"[60.0, -45.1875, -66.859375]",#00abff
281,60,-40.1875,-66.859375,"[60.0, -40.1875, -66.859375]",#00a9ff
282,60,-35.1875,-66.859375,"[60.0, -35.1875, -66.859375]",#00a7ff
283,60,-30.1875,-66.859375,"[60.0, -30.1875, -66.859375]",#00a5ff
284,60,-25.1875,-66.859375,"[60.0, -25.1875, -66.859375]",#00a3ff
285,60,-20.1875,-66.859375,"[60.0, -20.1875, -66.859375]",#00a1ff
286,60,-15.1875,-66.859375,"[60.0, -15.1875, -66.859375]",#009fff
287,60,-10.1875,-66.859375,"[60.0, -10.1875, -66.859375]",#009dff
288,60,-5.1875,-66.859375,"[60.0, -5.1875, -66.859375]",#009aff
289,60,-0.1875,-66.859375,"[60.0, -0.1875, -66.859375]",#0098ff
290,60,4.8125,-66.859375,"[60.0, 4.8125, -66.859375]",#0095ff
291,60,9.8125,-66.859375,"[60.0, 9.8125, -66.859375]",#0092ff
292,60,14.8125,-66.859375,"[60.0, 14.8125, -66.859375]",#318fff
293,60,19.8125,-66.859375,"[60.0, 19.8125, -66.859375]",#4d8cff
294,60,24.8125,-66.859375,"[60.0, 24.8125, -66.859375]",#6189ff
295,60,29.8125,-66.859375,"[60.0, 29.8125, -66.859375]",#7285ff
296,60,34.8125,-66.859375,"[60.0, 34.8125, -66.859375]",#8081ff
297,60,39.8125,-66.859375,"[60.0, 39.8125, -66.859375]",#8c7dff
298,60,44.8125,-66.859375,"[60.0, 44.8125, -66.859375]",#9879ff
299,60,49.8125,-66.859375,"[60.0, 49.8125, -66.859375]",#a374ff
300,60,54.8125,-66.859375,"[60.0, 54.8125, -66.859375]",#ad6fff
301,60,59.8125,-66.859375,"[60.0, 59.8125, -66.859375]",#b76aff
302,60,64.8125,-66.859375,"[60.0, 64.8125, -66.859375]",#c164ff
303,60,69.8125,-66.859375,"[60.0, 69.8125, -66.859375]",#ca5dff
304,60,74.8125,-66.859375,"[60.0, 74.8125, -66.859375]",#d255ff
305,60,79.8125,-66.859375,"[60.0, 79.8125, -66.859375]",#db4cff
306,60,-85.1875,-61.859375,"[60.0, -85.1875, -61.859375]",#00b5fd
307,60,-80.1875,-61.859375,"[60.0, -80.1875, -61.859375]",#00b4fd
308,60,-75.1875,-61.859375,"[60.0, -75.1875, -61.859375]",#00b3fd
309,60,-70.1875,-61.859375,"[60.0, -70.1875, -61.859375]",#00b2fd
310,60,-65.1875,-61.859375,"[60.0, -65.1875, -61.859375]",#00b0fd
311,60,-60.1875,-61.859375,"[60.0, -60.1875, -61.859375]",#00affd
312,60,-55.1875,-61.859375,"[60.0, -55.1875, -61.859375]",#00adfd
313,60,-50.1875,-61.859375,"[60.0, -50.1875, -61.859375]",#00acfd
314,60,-45.1875,-61.859375,"[60.0, -45.1875, -61.859375]",#00aafd
315,60,-40.1875,-61.859375,"[60.0, -40.1875, -61.859375]",#00a8fd
316,60,-35.1875,-61.859375,"[60.0, -35.1875, -61.859375]",#00a7fd
317,60,-30.1875,-61.859375,"[60.0, -30.1875, -61.859375]",#00a5fd
318,60,-25.1875,-61.859375,"[60.0, -25.1875, -61.859375]",#00a3fe
319,60,-20.1875,-61.859375,"[60.0, -20.1875, -61.859375]",#00a1fe
320,60,-15.1875,-61.859375,"[60.0, -15.1875, -61.859375]",#009efe
321,60,-10.1875,-61.859375,"[60.0, -10.1875, -61.859375]",#009cfe
322,60,-5.1875,-61.859375,"[60.0, -5.1875, -61.859375]",#009afe
323,60,-0.1875,-61.859375,"[60.0, -0.1875, -61.859375]",#0097fe
324,60,4.8125,-61.859375,"[60.0, 4.8125, -61.859375]",#0094fe
325,60,9.8125,-61.859375,"[60.0, 9.8125, -61.859375]",#2e91fe
326,60,14.8125,-61.859375,"[60.0, 14.8125, -61.859375]",#4b8efe
327,60,19.8125,-61.859375,"[60.0, 19.8125, -61.859375]",#5f8bfe
328,60,24.8125,-61.859375,"[60.0, 24.8125, -61.859375]",#6f88fe
329,60,29.8125,-61.859375,"[60.0, 29.8125, -61.859375]",#7d84fe
330,60,34.8125,-61.859375,"[60.0, 34.8125, -61.859375]",#8a80fe
331,60,39.8125,-61.859375,"[60.0, 39.8125, -61.859375]",#957cff
332,60,44.8125,-61.859375,"[60.0, 44.8125, -61.859375]",#a078ff
333,60,49.8125,-61.859375,"[60.0, 49.8125, -61.859375]",#ab73ff
334,60,54.8125,-61.859375,"[60.0, 54.8125, -61.859375]",#b46eff
335,60,59.8125,-61.859375,"[60.0, 59.8125, -61.859375]",#be68ff
336,60,64.8125,-61.859375,"[60.0, 64.8125, -61.859375]",#c762ff
337,60,69.8125,-61.859375,"[60.0, 69.8125, -61.859375]",#cf5bff
338,60,74.8125,-61.859375,"[60.0, 74.8125, -61.859375]",#d854ff
339,60,79.8125,-61.859375,"[60.0, 79.8125, -61.859375]",#e04bff
340,60,-85.1875,-56.859375,"[60.0, -85.1875, -56.859375]",#00b5f4
341,60,-80.1875,-56.859375,"[60.0, -80.1875, -56.859375]",#00b3f4
